2 7.77e-07  2.175e-06
4 1.0158e-06  3.6306e-06
8 2.0314e-06  1.02712e-05
16 5.072e-06  1.8761e-05
32 1.33066e-05  3.6714e-05
64 2.19836e-05  7.91438e-05
128 5.56702e-05  0.000117226
256 0.000158045  0.000355066
512 0.000283077  0.000280148
1024 0.000434084  0.000563579
2048 0.000934966  0.00102243
4096 0.00203427  0.00216135
8192 0.00436556  0.00334695
16384 0.00964643  0.00669981
32768 0.0200421  0.0206362
65536 0.04213  0.0310992
131072 0.0909153  0.0821013
262144 0.190323  0.123743
524288 0.411491  0.312816
1048576 0.847608  0.547151
2097152 1.77435  0.943404
4194304 3.72176  2.39843
8388608 7.81623  4.19045
  
